Id Carte	étape	Texte
15  0 Prologue : Bruxelles (6 km, contre-la-montre)
15  1 1e étape : Liège - Luxembourg (175 km)
15  2 2e étape : Luxembourg - Strasbourg (250 km)
15  3 3e étape : Colmar - Besançon (190 km)
15  4 4e étape : Besançon - Bourg-en-Bresse (195 km)
15  5 5e étape : Bourg-en-Bresse - Morzine (205 km)
15  6 6e étape : Le Grand-Bornand - Alpe d'Huez (225 km)
15  7 7e étape : Le Bourg-d'Oisans - Saint-Jean-de-Maurienne (160 km)
15  8 8e étape : Grenoble - Gap (165 km)
15  9 9e étape : Embrun - Marseille (210 km)
15  10  10e étape : Marseille - Nîmes (170 km)
15  11  11e étape : Nîmes - Montpellier (52 km, contre-la-montre)
15  12  12e étape : Montpellier - Mende (185 km)
15  13  13e étape : Mende - Carcassonne (235 km)
15  14  14e étape : Carcassonne - Albi (160 km)
15  15  15e étape : Toulouse - Plateau de Beille (220 km)
15  16  16e étape : Foix - Bagnères-de-Luchon (170 km)
15  17  17e étape : Bagnères-de-Luchon - Pau (190 km)
15  18  18e étape : Pau - Tarbes (42 km, contre-la-montre)
15  19  19e étape : Tarbes - Bordeaux (220 km)
15  20  20e étape : Paris - Paris (110 km)
14	0	Prologue : Nantes (6 km)
14	1	1e étape : Nantes - Angers (160 km)
14	2	2e étape : Angers - Limoges (260 km)
14	3	3e étape : Limoges - Bordeaux (235 km)
14	4	4e étape : Bordeaux - Pau (230 km)
14	5	5e étape : Pau - Bagnères-de-Luchon (165 km)
14	6	6e étape : Bagnères-de-Luchon - Saint-Gaudens (46 km, contre-la-montre)
14	7	7e étape : Saint-Gaudens - Toulouse (160 km)
14	8	8e étape : Toulouse - Montpellier (250 km)
14	9	9e étape : Marseille - Gap (240 km)
14	10	10e étape : Briançon - Alpe d'Huez (145 km)
14	11	11e étape : Le Bourg-d'Oisans - Morzine (250 km)
14	12	12e étape : Aix-les-Bains - Grenoble (165 km)
14	13	13e étape : Grenoble - Saint-Etienne (190 km)
14	14	14e étape : Lyon - Dijon (225 km)
14	15	15e étape : Besançon - Strasbourg (245 km)
14	16	16e étape : Nancy - Metz (59 km, contre-la-montre)
14	17	17e étape : Metz - Liège (240 km)
14	18	18e étape : Bruxelles - Roubaix (185 km)
14	19	19e étape : Roubaix - Rouen (230 km)
14	20	20e étape : Versailles - Paris (110 km)
13	1	1e étape : Brest - Vannes (205 km)
13	2	2e étape : Vannes - Nantes (180 km)
13	3	3e étape : Nantes - Les Sables-d'Olonne (90 km, contre-la-montre)
13	4	4e étape : La Rochelle - Bordeaux (210 km)
13	5	5e étape : Bordeaux - Bayonne (230 km)
13	6	6e étape : Pau - Bagnères-de-Luchon (180 km)
13	7	7e étape : Toulouse - Perpignan (240 km)
13	8	8e étape : Perpignan - Montpellier (180 km)
13	9	9e étape : Nîmes - Marseille (170 km)
13	10	10e étape : Toulon - Cannes (175 km)
13	11	11e étape : Nice - Briançon (250 km)
13	12	12e étape : Briançon - Grenoble (210 km)
13	13	13e étape : Grenoble - Aix-les-Bains (230 km)
13	14	14e étape : Lyon - Evian (260 km)
13	15	15e étape : Genève - Belfort (245 km)
13	16	16e étape : Belfort - Strasbourg (240 km)
13	17	17e étape : Metz - Charleville-Mézières (185 km)
13	18	18e étape : Charleville-Mézières - Dunkerque (280 km)
13	19	19e étape : Lille - Le Havre (310 km)
13	20	20e étape : Le Havre - Cherbourg (245 km)
13	21	21e étape : Caen - Paris (230 km)
12	0	Prologue : Dunkerque (7 km)
12	1	1e étape : Dunkerque - Roubaix (140 km)
12	2	2e étape : Lille - Rouen (225 km)
12	3	3e étape : Le Havre - Cherbourg (245 km)
12	4	4e étape : Caen - Angers (220 km)
12	5	5e étape : Nantes - La Rochelle (160 km)
12	6	6e étape : Bordeaux - Bayonne (205 km)
12	7	7e étape : Pau - Bagnères-de-Luchon (165 km)
12	8	8e étape : Bagnères-de-Luchon - Perpignan (265 km)
12	9	9e étape : Toulouse - Montpellier (250 km)
12	10	10e étape : Nîmes - Marseille (135 km)
12	11	11e étape : Marseille - Nice (205 km)
12	12	12e étape : Nice - Gap (220 km)
12	13	13e étape : Briançon - Alpe d'Huez (145 km)
12	14	14e étape : Grenble - Morzine (190 km)
12	15	15e étape : Aix-les-Bains - Saint-Etienne (175 km)
12	16	16e étape : Saint-Etienne - Lyon (55 km, contre-la-montre)
12	17	17e étape : Lyon - Besançon (240 km)
12	18	18e étape : Belfort - Strasbourg (160 km)
12	19	19e étape : Strasbourg - Metz (185 km)
12	20	20e étape : Versailles - Paris (110 km)
